,cor,pvalue
gobp_regulation_of_t_cell_activation,0.713659010862354,4.16206591417911e-37
gobp_t_cell_activation,0.708555422842826,2.23545067065258e-36
gocc_t_cell_receptor_complex,0.685002200554904,3.3435288881048e-33
gobp_immune_response_regulating_cell_surface_receptor_signaling_pathway,0.666095937379004,7.29958167419109e-31
gomf_c_c_chemokine_binding,0.656086403784257,1.08083156642944e-29
gobp_lymphocyte_activation_involved_in_immune_response,0.648014238138514,8.82574808332977e-29
gobp_t_cell_activation_involved_in_immune_response,0.642319024601909,3.73921781381188e-28
gobp_adaptive_immune_response,0.631514740222433,5.32818312195421e-27
gocc_external_side_of_plasma_membrane,0.588786452359954,7.48522601597166e-23
gobp_cytokine_production_involved_in_immune_response,0.582037834756216,2.980377651341e-22
gomf_cytokine_receptor_activity,0.569591121326624,3.50921415929271e-21
gobp_natural_killer_cell_activation_involved_in_immune_response,0.539599074724985,8.87032586775354e-19
gobp_b_cell_activation_involved_in_immune_response,0.507953773802832,1.72309521525925e-16
gomf_c_x_c_chemokine_receptor_activity,0.50532848666785,2.60418637761866e-16
gobp_immune_response_to_tumor_cell,0.470098399443026,4.78226347020749e-14
gobp_natural_killer_cell_mediated_immune_response_to_tumor_cell,0.417290040130265,4.18209459029479e-11
gobp_t_cell_mediated_immune_response_to_tumor_cell,0.218879754902154,0.000831751482872702
